epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,831.74,1.70455,2.20929,1.93526,0.55309,0.38498,0.39935,0.16715,2.15071,2.3258,2.39867,0.000660045,0.000660045,0.000660045
43,851.626,1.68319,2.22114,1.9089,0.54651,0.40584,0.40757,0.17674,2.0925,2.21296,2.41318,0.000649046,0.000649046,0.000649046
44,871.681,1.69705,2.21418,1.92511,0.66485,0.3911,0.43055,0.18441,2.04294,2.24691,2.38837,0.000638047,0.000638047,0.000638047
45,892.08,1.6438,2.18525,1.92368,0.61137,0.38661,0.40472,0.17998,2.06363,2.23661,2.39776,0.000627048,0.000627048,0.000627048
46,911.857,1.64306,2.15786,1.88813,0.61477,0.35699,0.38848,0.16747,2.02819,2.27466,2.37326,0.000616049,0.000616049,0.000616049
47,931.685,1.67975,2.20644,1.91325,0.61038,0.34348,0.38607,0.16795,2.06897,2.28944,2.35494,0.000605051,0.000605051,0.000605051
48,951.781,1.66987,2.16443,1.88293,0.63722,0.37329,0.40764,0.17869,2.11731,2.21435,2.39873,0.000594052,0.000594052,0.000594052
49,972.081,1.65233,2.12573,1.88892,0.57267,0.41637,0.41899,0.18895,2.04006,2.25548,2.36071,0.000583053,0.000583053,0.000583053
50,991.982,1.62524,2.12041,1.87471,0.59912,0.36726,0.39659,0.17162,2.10181,2.27853,2.3722,0.000572054,0.000572054,0.000572054
51,1012.04,1.66486,2.13854,1.91445,0.60935,0.38492,0.40691,0.17511,2.12511,2.306,2.42549,0.000561055,0.000561055,0.000561055
52,1032.5,1.62963,2.11852,1.89784,0.56171,0.40276,0.40882,0.18197,2.05979,2.25527,2.38712,0.000550056,0.000550056,0.000550056
53,1052.45,1.61128,2.04483,1.88326,0.55614,0.44182,0.42877,0.19269,2.0375,2.10915,2.38777,0.000539057,0.000539057,0.000539057
54,1072.64,1.62446,2.05335,1.86691,0.52305,0.38453,0.38552,0.15986,2.1441,2.35544,2.43686,0.000528058,0.000528058,0.000528058
55,1092.3,1.63763,2.07165,1.85496,0.55964,0.40176,0.3955,0.16657,2.1065,2.26094,2.38249,0.000517059,0.000517059,0.000517059
56,1112.06,1.59697,2.00289,1.83078,0.56071,0.37296,0.38062,0.16395,2.11909,2.29205,2.44675,0.00050606,0.00050606,0.00050606
57,1131.99,1.57891,2.0466,1.85755,0.58904,0.37724,0.40631,0.16737,2.10226,2.27642,2.40037,0.000495062,0.000495062,0.000495062
58,1151.58,1.58363,2.05387,1.84925,0.57441,0.39457,0.38484,0.16991,2.08908,2.29345,2.41422,0.000484063,0.000484063,0.000484063
59,1171.85,1.60539,2.07071,1.88588,0.56535,0.40235,0.39982,0.1814,2.0857,2.17767,2.39924,0.000473064,0.000473064,0.000473064
60,1191.65,1.55819,1.95598,1.83553,0.50603,0.38849,0.41462,0.17635,2.17324,2.23929,2.44796,0.000462065,0.000462065,0.000462065
61,1211.41,1.55485,1.94773,1.8316,0.52815,0.44171,0.41551,0.17506,2.11848,2.28093,2.40475,0.000451066,0.000451066,0.000451066
62,1231.47,1.59405,1.99349,1.84642,0.57035,0.43529,0.42367,0.18635,2.08507,2.20421,2.39613,0.000440067,0.000440067,0.000440067
63,1251.27,1.5671,1.9587,1.8265,0.46767,0.3964,0.40768,0.16553,2.12231,2.35867,2.42943,0.000429068,0.000429068,0.000429068
64,1271.46,1.57104,1.96486,1.8475,0.57144,0.40674,0.41753,0.17876,2.14007,2.26651,2.42886,0.000418069,0.000418069,0.000418069
65,1291.67,1.55366,1.9551,1.83208,0.55889,0.38287,0.41425,0.17856,2.10492,2.24645,2.4323,0.00040707,0.00040707,0.00040707
66,1311.6,1.52598,1.92998,1.82278,0.60979,0.40971,0.4408,0.1887,2.11478,2.26385,2.42902,0.000396071,0.000396071,0.000396071
67,1331.53,1.52234,1.9294,1.8068,0.53838,0.41763,0.41399,0.18542,2.06859,2.25449,2.42149,0.000385073,0.000385073,0.000385073
68,1350.97,1.52877,1.86396,1.80693,0.58094,0.41165,0.4182,0.17254,2.11518,2.23048,2.40128,0.000374074,0.000374074,0.000374074
69,1371.45,1.51641,1.86098,1.79737,0.58535,0.42797,0.42486,0.18113,2.15044,2.21624,2.44554,0.000363075,0.000363075,0.000363075
70,1391.36,1.54046,1.84914,1.81637,0.54575,0.41001,0.40543,0.17915,2.11088,2.27924,2.43001,0.000352076,0.000352076,0.000352076
71,1411.14,1.5368,1.88852,1.82293,0.59448,0.40602,0.43134,0.17564,2.1,2.23795,2.42691,0.000341077,0.000341077,0.000341077
72,1430.96,1.51907,1.83893,1.7992,0.62902,0.39352,0.4216,0.17638,2.15452,2.21241,2.46986,0.000330078,0.000330078,0.000330078
73,1450.98,1.49892,1.8297,1.77939,0.59642,0.40205,0.41971,0.16565,2.17891,2.2707,2.44441,0.000319079,0.000319079,0.000319079
74,1471.03,1.51123,1.85882,1.77784,0.67429,0.41172,0.44815,0.18373,2.149,2.17273,2.4576,0.00030808,0.00030808,0.00030808
75,1491.18,1.50531,1.85201,1.79704,0.56164,0.39444,0.41569,0.1683,2.19845,2.37014,2.46205,0.000297081,0.000297081,0.000297081
76,1510.75,1.4626,1.79413,1.77326,0.5979,0.41862,0.44072,0.18389,2.14279,2.17541,2.43772,0.000286083,0.000286083,0.000286083
77,1530.94,1.47388,1.80181,1.77305,0.5875,0.39594,0.4144,0.17551,2.20119,2.24293,2.49536,0.000275084,0.000275084,0.000275084
78,1551.05,1.47995,1.81087,1.80154,0.50401,0.40237,0.38429,0.15782,2.19228,2.31993,2.45203,0.000264085,0.000264085,0.000264085
79,1570.83,1.46178,1.7423,1.75411,0.58207,0.44436,0.4326,0.18005,2.19743,2.17529,2.47811,0.000253086,0.000253086,0.000253086
80,1591.1,1.45546,1.74232,1.74812,0.5397,0.40805,0.39676,0.16527,2.17587,2.26519,2.47149,0.000242087,0.000242087,0.000242087
81,1611.18,1.45802,1.78849,1.75539,0.47192,0.47184,0.41586,0.18022,2.17616,2.19809,2.49044,0.000231088,0.000231088,0.000231088
82,1631.24,1.47651,1.737,1.74921,0.50509,0.4167,0.41424,0.17785,2.1733,2.21432,2.48932,0.000220089,0.000220089,0.000220089
83,1651.24,1.44823,1.68522,1.74465,0.50659,0.41388,0.40826,0.18237,2.15119,2.14708,2.46801,0.00020909,0.00020909,0.00020909
84,1671.5,1.43941,1.68652,1.72481,0.50825,0.45691,0.42463,0.18114,2.16496,2.15293,2.48739,0.000198091,0.000198091,0.000198091
85,1691.21,1.44799,1.70145,1.73555,0.52062,0.37611,0.40491,0.17058,2.18224,2.23008,2.48582,0.000187092,0.000187092,0.000187092
86,1710.73,1.42631,1.66302,1.72353,0.53198,0.42906,0.42593,0.17801,2.17505,2.14425,2.52285,0.000176094,0.000176094,0.000176094
